id,name
76F067,Amgen Inc.
205AD5,UnitedHealth Group Inc.
767F86,Caterpillar Inc.
8A8E41,Verizon Communications Inc.
D54E62,Chevron Corp.
2E61CC,Procter & Gamble Co.
EEA6B3,Coca-Cola Co.
93D207,Visa Inc.
FF6644,Honeywell International Inc.
A6828A,Johnson & Johnson Co.
ACDF88,The Home Depot Inc.
E206B0,The Travelers Companies Inc.
228D42,Microsoft Corp.
1EBF8D,Merck & Co. Inc.
954E30,McDonald's Corp.
6CGTFN,The Walt Disney Co.
12DE76,Cisco Systems Inc.
50070E,Goldman Sachs Group Inc.
03B8CF,3M Co.
713810,Walmart Inc.
55438C,Boeing Co.
D8442A,Apple Inc.
BB127B,Salesforce Inc.
619882,JPMorgan Chase & Co.
0157B1,Amazon.com Inc.
8D4486,IBM Corp.
4C37C5,American Express Co.
408089,Sherwin-Williams Co.
E09E2B,NVIDIA Corp.
D64C6D,NIKE Inc.
