id,name
789D88,Banco Bilbao Vizcaya Argentaria S.A.
442587,BNP Paribas S.A.
633054,Deutsche Telekom AG
80BE8A,Adyen N.V.
3E149C,Danone S.A.
AE0DB4,ENI S.p.A.
D7A681,L'Oreal S.A.
A28C54,Vinci S.A.
AFCFF2,ASML Holding N.V.
ED869A,Iberdrola S.A.
6E9442,Enel S.p.A.
1C7FFE,Deutsche Post AG
DE344E,Kering S.A.
6A027C,Flutter Entertainment PLC
A117F8,Allianz SE
EC210B,Infineon Technologies AG
8876D6,Adidas AG
990599,Schneider Electric SE
C74288,Siemens AG
F837A5,ING Groep N.V.
29C6BF,Inditex
FFF3BE,AXA S.A.
A42637,Prosus N.V.
33057B,Stellantis N.V.
C12ED9,Nokia Corp.
278DC5,Linde PLC
AB4B9A,Safran S.A.
BC8373,Banco Santander S.A.
127021,Koninklijke Ahold Delhaize N.V.
1FA886,Airbus SE
D01300,TotalEnergies SE
DD394F,Ferrari N.V.
75F982,LVMH Moet Hennessy Louis Vuitton SE
FF8514,SAP SE
264398,BMW Group
C5F463,BASF SE
C24FAF,Deutsche Boerse AG
D6AAF0,Mercedes-Benz Group AG
C8FAC7,Anheuser-Busch InBev NV
F4194B,Sanofi S.A.
531718,Hermes International S.A.
B77AF6,UniCredit S.p.A.
16AD58,CRH PLC
69ADD9,Volkswagen AG
72BEB6,Intesa Sanpaolo S.p.A.
B72D2E,EssilorLuxottica SA
DD92E7,Bayer AG
B76277,Air Liquide S.A.
314E5A,Munich Re
9B16D5,Deutsche Bank AG
