id,name
B65303,AstraZeneca PLC
94A811,Novartis AG
AE0DB4,ENI S.p.A.
789D88,Banco Bilbao Vizcaya Argentaria S.A.
D01300,TotalEnergies SE
DD394F,Ferrari N.V.
F15E41,Tenaris S.A.
C12ED9,Nokia Corp.
33057B,Stellantis N.V.
21153F,Aegon Ltd.
DD92E7,Bayer AG
AFCFF2,ASML Holding N.V.
92589A,Gedeon Richter Nyrt.
89054D,Saipem S.p.A.
73B927,Barclays PLC
F13DEB,Aselsan Elektronik San. Ve Tic. A.S.
394E6A,Vodafone Group PLC
388C37,Investor AB
09DDC4,NatWest Group PLC
DB5E90,Rio Tinto PLC
FFC922,Enka Insaat ve Sanayi A.S.
9BA7AA,Turkiye Garanti Bankasi A.S.
A1A4EE,Türkiye Petrol Rafinerileri A.S.
AE0271,Marel hf.
5C3A5C,BIM Birlesik Magazalar AS
47718F,Turkish Airlines Inc.
F5E860,Akbank T.A.S.
895B74,KOC Holding A.S.
DA63FE,Skandinaviska Enskilda Banken AB
4EAA76,EQT AB
3DC70D,Ford Otomotiv Sanayi A.S.
EB5D45,Ryanair Holdings PLC
629ACD,Turkiye Is Bankasi A.S.
D7EAC4,Turkiye Vakiflar Bankasi T.A.O.
128F1B,Yapi ve Kredi Bankasi A.S.
9B16D5,Deutsche Bank AG
BC9793,HSBC Holdings PLC
01D03F,Roche Holding AG
15D3E7,Turkiye Halk Bankasi A.S.
890255,Shell PLC
CD3691,Nestle S.A.
73B0E0,Turkcell Iletisim Hizmetleri A.S.
D3A095,Islandsbanki hf.
B73B08,argenx SE
E0427E,GSK PLC
7C37A3,Eregli Demir ve Celik Fabrikalari T.A.S.
18A43F,Komercni Banka A.S.
E43B87,Turk Telekomunikasyon A.S.
C74288,Siemens AG
DC9BEC,Sabanci Holding A.S.
689494,Coca-Cola Icecek A.S.
29C6BF,Inditex
CNFFMP,Sildarvinnslan hf
BC8373,Banco Santander S.A.
823D23,Gubre Fabrikalari T.A.S.
7ED6E7,Essity AB
5FC63E,ABB Ltd.
1FA886,Airbus SE
6D064B,Brim hf.
1A1ED9,Siemens Energy AG
80D76F,PDD Holdings Inc.
C4073B,Eaton Corp. PLC
95805E,Enerjisa Enerji A.S.
E2C0F3,Turk Altin Isletmeleri AS
AB4B9A,Safran S.A.
ED869A,Iberdrola S.A.
550034,Turkiye Sise Ve Cam Fabrikalari A.S.
2F75E0,Koninklijke Philips N.V.
5E9547,Tofas Turk Otomobil Fabrikasi A.S.
C8FAC7,Anheuser-Busch InBev NV
5930DD,British American Tobacco PLC
DE27F9,Chubb Ltd.
2D469F,BP PLC
1AC3ED,Iskenderun Demir Ve Celik A.S.
188CAC,Unilever PLC
91B8B1,Accenture PLC
B76277,Air Liquide S.A.
239066,Investment AB Latour
EA436E,TAV Havalimanlari Holding A.S.
8C005F,Oyak Cimento Fabrikalari A.S.
6E9442,Enel S.p.A.
B77AF6,UniCredit S.p.A.
E68733,Medtronic PLC
7C5E15,Zurich Insurance Group AG
A7C367,Migros Ticaret A.S.
F11C7D,SASA Polyester Sanayi A.S.
894CB4,Allegro.eu S.A.
417431,Equinor ASA
72BEB6,Intesa Sanpaolo S.p.A.
442587,BNP Paribas S.A.
B72D2E,EssilorLuxottica SA
08A463,Anadolu Efes Biracilik ve Malt Sanayii A.S.
51M43D,Ziraat Gayrimenkul Yatirim Ortakligi AS
86170D,Spotify Technology S.A.
E6C332,Industrivarden AB
5B9E0F,Aksa Enerji Uretim AS
FFF3BE,AXA S.A.
697402,MONETA Money Bank A.S.
A473AE,Compagnie Financiere Richemont S.A.
FUBDT6,InvestCo Holding AS
